Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-01-01,7195.24000000,7255.00000000,7175.15000000,7200.85000000,16792.38816500,2020-01-01 23:59:59.999,121214452.11606228,194010,8946.95553500,64597785.21233434,0
2020-01-02,7200.77000000,7212.50000000,6924.74000000,6965.71000000,31951.48393200,2020-01-02 23:59:59.999,225982341.30114030,302667,15141.61134000,107060829.07806464,0
2020-01-03,6965.49000000,7405.00000000,6871.04000000,7344.96000000,68428.50045100,2020-01-03 23:59:59.999,495098582.96203543,519854,35595.49627300,257713113.85172859,0
2020-01-04,7345.00000000,7404.00000000,7272.21000000,7354.11000000,29987.97497700,2020-01-04 23:59:59.999,219874240.93994811,279370,16369.38224800,120035111.72407165,0
2020-01-05,7354.19000000,7495.00000000,7318.00000000,7358.75000000,38331.08560400,2020-01-05 23:59:59.999,284848683.78917621,329209,19455.36956400,144600094.38965074,0
2020-01-06,7357.64000000,7795.34000000,7346.76000000,7758.00000000,54635.69531600,2020-01-06 23:59:59.999,413330481.22604919,449937,28853.76777000,218411610.65942464,0
2020-01-07,7758.90000000,8207.68000000,7723.71000000,8145.28000000,91171.68466100,2020-01-07 23:59:59.999,724202791.14296263,685315,46192.11154900,366866967.61393177,0
2020-01-08,8145.92000000,8455.00000000,7870.00000000,8055.98000000,112622.64264000,2020-01-08 23:59:59.999,926410232.60450582,830375,55071.10951400,453284250.45453957,0
2020-01-09,8054.72000000,8055.96000000,7750.00000000,7817.76000000,64239.51983000,2020-01-09 23:59:59.999,507258250.47487964,478800,31645.75922100,249899679.33440103,0
2020-01-10,7817.74000000,8199.00000000,7672.00000000,8197.02000000,82406.77744800,2020-01-10 23:59:59.999,652774220.38843703,606101,42361.75530700,335845385.67483303,0
2020-01-11,8198.86000000,8286.34000000,8003.16000000,8020.01000000,54810.03266700,2020-01-11 23:59:59.999,445034349.56470204,469131,27916.12497400,226716001.44288607,0
2020-01-12,8020.01000000,8197.00000000,7960.00000000,8184.98000000,38131.49433600,2020-01-12 23:59:59.999,309351920.45885002,350662,19718.54109600,159972663.99291870,0
2020-01-13,8184.97000000,8196.00000000,8055.89000000,8110.34000000,31159.75568300,2020-01-13 23:59:59.999,252656965.35815013,289144,15215.22650100,123407351.91807934,0
2020-01-14,8110.34000000,8880.00000000,8105.54000000,8810.01000000,120399.12674200,2020-01-14 23:59:59.999,1032735180.86587384,915328,62492.09667600,536081638.05418570,0
2020-01-15,8814.64000000,8916.48000000,8564.00000000,8821.41000000,84816.29760600,2020-01-15 23:59:59.999,743712237.27908164,764048,42493.55102600,372770745.17929917,0
2020-01-16,8820.01000000,8859.81000000,8586.00000000,8720.01000000,51991.07428400,2020-01-16 23:59:59.999,451752380.28108111,543064,25996.30135000,225914888.37777233,0
2020-01-17,8720.15000000,9041.65000000,8672.44000000,8913.28000000,70897.73737700,2020-01-17 23:59:59.999,629568740.70700897,676403,36139.80884500,320997160.95891669,0
2020-01-18,8913.27000000,8988.88000000,8806.38000000,8915.96000000,38294.74654500,2020-01-18 23:59:59.999,340852837.91608031,458182,19421.29531300,172895403.23974317,0
2020-01-19,8915.09000000,9198.98000000,8466.00000000,8701.70000000,70676.88925900,2020-01-19 23:59:59.999,623950864.27629280,615665,33655.94324100,297282818.09315907,0
2020-01-20,8701.72000000,8746.99000000,8521.28000000,8642.35000000,38896.63974600,2020-01-20 23:59:59.999,336447837.00180591,385006,19453.86378200,168293007.48754648,0
2020-01-21,8642.35000000,8789.00000000,8488.00000000,8736.03000000,36494.68765900,2020-01-21 23:59:59.999,316056704.98473800,365621,18731.87163700,162303157.94279355,0
2020-01-22,8736.04000000,8818.00000000,8590.00000000,8682.36000000,29080.55713800,2020-01-22 23:59:59.999,252638888.21492550,317424,14477.15751200,125794389.99554266,0
2020-01-23,8682.77000000,8691.81000000,8306.39000000,8404.52000000,48165.94459700,2020-01-23 23:59:59.999,407428808.67533703,464805,23287.71244400,196965082.04041370,0
2020-01-24,8404.52000000,8528.02000000,8238.00000000,8439.00000000,41687.52952900,2020-01-24 23:59:59.999,349874174.79003938,407271,21293.48958600,178752179.11477745,0
2020-01-25,8438.99000000,8451.26000000,8254.90000000,8340.58000000,25521.15793200,2020-01-25 23:59:59.999,212869245.63589778,283118,13076.75278600,109098245.22427255,0
2020-01-26,8340.01000000,8618.13000000,8293.66000000,8615.00000000,31130.48516400,2020-01-26 23:59:59.999,263941925.27299900,332612,15797.91126700,133936210.14356350,0
2020-01-27,8614.39000000,9000.00000000,8535.00000000,8907.57000000,53973.54299600,2020-01-27 23:59:59.999,473194952.80446884,514196,28592.32652100,250794158.80919072,0
2020-01-28,8907.57000000,9400.00000000,8862.40000000,9374.21000000,74584.85376500,2020-01-28 23:59:59.999,676593159.48233962,616678,38852.36324600,352558461.21538207,0
2020-01-29,9375.34000000,9449.24000000,9216.00000000,9301.53000000,53864.06512200,2020-01-29 23:59:59.999,503188568.83635783,492545,26615.65132900,248688826.41119043,0
